retriever,query,predicted_domain,domain_reason,expected_source,top1_source,top3_sources,top1_correct,top3_correct
TF-IDF,How long does standard shipping take?,ecommerce,"E-commerce keywords matched: ['shipping', 'standard shipping']",shipping.md,shipping.md,"['shipping.md', 'international_shipping.md', 'payment_security.md']",True,True
TF-IDF,When will my standard delivery arrive?,ecommerce,E-commerce keywords matched: ['delivery'],shipping.md,shipping.md,"['shipping.md', 'international_shipping.md', 'shipping.md']",True,True
TF-IDF,How many business days does shipping usually take?,ecommerce,E-commerce keywords matched: ['shipping'],shipping.md,shipping.md,"['shipping.md', 'shipping.md', 'returns_refunds.md']",True,True
TF-IDF,Do you offer express shipping?,ecommerce,"E-commerce keywords matched: ['shipping', 'express shipping']",shipping.md,shipping.md,"['shipping.md', 'international_shipping.md', 'shipping.md']",True,True
TF-IDF,How fast is express delivery?,ecommerce,E-commerce keywords matched: ['delivery'],shipping.md,shipping.md,"['shipping.md', 'international_shipping.md', 'shipping.md']",True,True
TF-IDF,My package has not arrived after 12 business days,ecommerce,"E-commerce keywords matched: ['package', 'arrived']",shipping.md,shipping.md,"['shipping.md', 'order_tracking.md', 'shipping.md']",True,True
TF-IDF,My order still has not arrived after 10 business days,ecommerce,"E-commerce keywords matched: ['order', 'arrived']",shipping.md,shipping.md,"['shipping.md', 'shipping.md', 'returns_refunds.md']",True,True
TF-IDF,My package is missing,ecommerce,E-commerce keywords matched: ['package'],shipping.md,order_tracking.md,"['order_tracking.md', 'order_tracking.md', 'escalation_rules.md']",False,False
TF-IDF,Do you ship internationally?,ecommerce,No strong domain match; defaulted to ecommerce,shipping.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'payment_security.md']",False,False
TF-IDF,Will I have to pay customs fees?,ecommerce,E-commerce keywords matched: ['customs'],shipping.md,international_shipping.md,"['international_shipping.md', 'shipping.md', 'subscriptions.md']",False,True
TF-IDF,How long does order processing take?,ecommerce,E-commerce keywords matched: ['order'],shipping.md,shipping.md,"['shipping.md', 'order_tracking.md', 'payment_security.md']",True,True
TF-IDF,Can I track my shipment?,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'payment_security.md']",False,False
TF-IDF,Can I return an item after delivery?,ecommerce,"E-commerce keywords matched: ['delivery', 'return', 'item']",returns_refunds.md,returns_refunds.md,"['returns_refunds.md', 'damaged_items.md', 'international_shipping.md']",True,True
TF-IDF,What is your return window?,ecommerce,E-commerce keywords matched: ['return'],returns_refunds.md,returns_refunds.md,"['returns_refunds.md', 'subscriptions.md', 'subscriptions.md']",True,True
TF-IDF,How many days do I have to request a return?,ecommerce,E-commerce keywords matched: ['return'],returns_refunds.md,returns_refunds.md,"['returns_refunds.md', 'escalation_rules.md', 'shipping.md']",True,True
TF-IDF,Can I get a refund for a damaged item?,ecommerce,"E-commerce keywords matched: ['refund', 'damaged item', 'item']",returns_refunds.md,damaged_items.md,"['damaged_items.md', 'returns_refunds.md', 'returns_refunds.md']",False,True
TF-IDF,I received a damaged item and want a refund,ecommerce,"E-commerce keywords matched: ['refund', 'damaged item', 'item']",returns_refunds.md,damaged_items.md,"['damaged_items.md', 'returns_refunds.md', 'returns_refunds.md']",False,True
TF-IDF,My item arrived broken,ecommerce,"E-commerce keywords matched: ['item', 'arrived']",returns_refunds.md,damaged_items.md,"['damaged_items.md', 'returns_refunds.md', 'shipping.md']",False,True
TF-IDF,How long do refunds take?,ecommerce,E-commerce keywords matched: ['refund'],returns_refunds.md,returns_refunds.md,"['returns_refunds.md', 'subscriptions.md', 'subscriptions.md']",True,True
TF-IDF,When will my refund appear?,ecommerce,E-commerce keywords matched: ['refund'],returns_refunds.md,returns_refunds.md,"['returns_refunds.md', 'returns_refunds.md', 'damaged_items.md']",True,True
TF-IDF,Can I return an opened item?,ecommerce,"E-commerce keywords matched: ['return', 'item']",returns_refunds.md,returns_refunds.md,"['returns_refunds.md', 'damaged_items.md', 'subscriptions.md']",True,True
TF-IDF,I want to dispute this refund decision,ecommerce,E-commerce keywords matched: ['refund'],returns_refunds.md,returns_refunds.md,"['returns_refunds.md', 'returns_refunds.md', 'damaged_items.md']",True,True
TF-IDF,I want a chargeback,ecommerce,No strong domain match; defaulted to ecommerce,returns_refunds.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'payment_security.md']",False,False
TF-IDF,What payment methods do you accept?,ecommerce,No strong domain match; defaulted to ecommerce,payments.md,payments.md,"['payments.md', 'payment_security.md', 'subscriptions.md']",True,True
TF-IDF,Can I pay with PayPal?,ecommerce,No strong domain match; defaulted to ecommerce,payments.md,payments.md,"['payments.md', 'subscriptions.md', 'subscriptions.md']",True,True
TF-IDF,Do you accept debit cards?,ecommerce,No strong domain match; defaulted to ecommerce,payments.md,payments.md,"['payments.md', 'subscriptions.md', 'subscriptions.md']",True,True
TF-IDF,My payment failed at checkout,ecommerce,E-commerce keywords matched: ['checkout'],payments.md,payment_security.md,"['payment_security.md', 'payments.md', 'subscriptions.md']",False,True
TF-IDF,Why did my card get declined?,ecommerce,No strong domain match; defaulted to ecommerce,payments.md,payment_security.md,"['payment_security.md', 'payments.md', 'order_tracking.md']",False,True
TF-IDF,I was charged twice,ecommerce,No strong domain match; defaulted to ecommerce,payments.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'payment_security.md']",False,False
TF-IDF,There is a duplicate charge on my card,ecommerce,No strong domain match; defaulted to ecommerce,payments.md,payment_security.md,"['payment_security.md', 'payments.md', 'escalation_rules.md']",False,True
TF-IDF,Do you store my credit card number?,ecommerce,No strong domain match; defaulted to ecommerce,payments.md,payments.md,"['payments.md', 'payment_security.md', 'order_tracking.md']",True,True
TF-IDF,Is my payment information secure?,ecommerce,No strong domain match; defaulted to ecommerce,payments.md,payment_security.md,"['payment_security.md', 'subscriptions.md', 'subscriptions.md']",False,False
TF-IDF,How do I cancel my subscription?,saas,SaaS keywords matched: ['subscription'],subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'api_errors.md']",True,True
TF-IDF,Can I pause my subscription?,saas,SaaS keywords matched: ['subscription'],subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'api_errors.md']",True,True
TF-IDF,How do I change my subscription?,saas,SaaS keywords matched: ['subscription'],subscriptions.md,account_access.md,"['account_access.md', 'subscriptions.md', 'account_access.md']",False,True
TF-IDF,Where do I manage my subscription?,saas,SaaS keywords matched: ['subscription'],subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'api_errors.md']",True,True
TF-IDF,When do I need to cancel before renewal?,ecommerce,No strong domain match; defaulted to ecommerce,subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'payment_security.md']",True,True
TF-IDF,Will I get a reminder before renewal?,ecommerce,No strong domain match; defaulted to ecommerce,subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'payment_security.md']",True,True
TF-IDF,My subscription payment failed,saas,SaaS keywords matched: ['subscription'],subscriptions.md,subscriptions.md,"['subscriptions.md', 'billing.md', 'subscriptions.md']",True,True
TF-IDF,I want a refund for my subscription renewal,ecommerce,No strong domain match; defaulted to ecommerce,subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'returns_refunds.md']",True,True
TF-IDF,I am angry about my subscription renewal,saas,SaaS keywords matched: ['subscription'],subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'escalation_rules.md']",True,True
TF-IDF,I want to sue your company,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'payment_security.md']",False,False
TF-IDF,This feels like fraud,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,payment_security.md,"['payment_security.md', 'subscriptions.md', 'subscriptions.md']",False,False
